,Fecha,Frecuencia,anio,mes,dia
1828,01-ene,89,2021,ene,1
1829,02-ene,55,2021,ene,2
1830,03-ene,59,2021,ene,3
1831,04-ene,96,2021,ene,4
1832,05-ene,98,2021,ene,5
1833,06-ene,73,2021,ene,6
1834,07-ene,70,2021,ene,7
1835,08-ene,80,2021,ene,8
1836,09-ene,65,2021,ene,9
1837,10-ene,62,2021,ene,10
1838,11-ene,75,2021,ene,11
1839,12-ene,93,2021,ene,12
1840,13-ene,73,2021,ene,13
1841,14-ene,87,2021,ene,14
1842,15-ene,82,2021,ene,15
1843,16-ene,64,2021,ene,16
1844,17-ene,56,2021,ene,17
1845,18-ene,84,2021,ene,18
1846,19-ene,86,2021,ene,19
1847,20-ene,68,2021,ene,20
1848,21-ene,88,2021,ene,21
1849,22-ene,86,2021,ene,22
1850,23-ene,68,2021,ene,23
1851,24-ene,53,2021,ene,24
1852,25-ene,94,2021,ene,25
1853,26-ene,88,2021,ene,26
1854,27-ene,80,2021,ene,27
1855,28-ene,79,2021,ene,28
1856,29-ene,75,2021,ene,29
1857,30-ene,67,2021,ene,30
1858,31-ene,53,2021,ene,31
1859,01-feb,85,2021,feb,1
1860,02-feb,95,2021,feb,2
1861,03-feb,81,2021,feb,3
1862,04-feb,89,2021,feb,4
1863,05-feb,85,2021,feb,5
1864,06-feb,80,2021,feb,6
1865,07-feb,52,2021,feb,7
1866,08-feb,86,2021,feb,8
1867,09-feb,73,2021,feb,9
1868,10-feb,97,2021,feb,10
1869,11-feb,87,2021,feb,11
1870,12-feb,98,2021,feb,12
1871,13-feb,72,2021,feb,13
1872,14-feb,71,2021,feb,14
1873,15-feb,66,2021,feb,15
1874,16-feb,84,2021,feb,16
1875,17-feb,94,2021,feb,17
1876,18-feb,78,2021,feb,18
1877,19-feb,83,2021,feb,19
1878,20-feb,62,2021,feb,20
1879,21-feb,48,2021,feb,21
1880,22-feb,88,2021,feb,22
1881,23-feb,68,2021,feb,23
1882,24-feb,92,2021,feb,24
1883,25-feb,76,2021,feb,25
1884,26-feb,89,2021,feb,26
1885,27-feb,75,2021,feb,27
1886,28-feb,64,2021,feb,28
1887,01-mar,75,2021,mar,1
1888,02-mar,84,2021,mar,2
1889,03-mar,94,2021,mar,3
1890,04-mar,90,2021,mar,4
1891,05-mar,76,2021,mar,5
1892,06-mar,70,2021,mar,6
1893,07-mar,52,2021,mar,7
1894,08-mar,67,2021,mar,8
1895,09-mar,64,2021,mar,9
1896,10-mar,86,2021,mar,10
1897,11-mar,67,2021,mar,11
1898,12-mar,81,2021,mar,12
1899,13-mar,67,2021,mar,13
1900,14-mar,50,2021,mar,14
1901,15-mar,53,2021,mar,15
1902,16-mar,78,2021,mar,16
1903,17-mar,85,2021,mar,17
1904,18-mar,80,2021,mar,18
1905,19-mar,84,2021,mar,19
1906,20-mar,74,2021,mar,20
1907,21-mar,57,2021,mar,21
1908,22-mar,89,2021,mar,22
1909,23-mar,65,2021,mar,23
1910,24-mar,72,2021,mar,24
1911,25-mar,54,2021,mar,25
1912,26-mar,79,2021,mar,26
1913,27-mar,69,2021,mar,27
1914,28-mar,59,2021,mar,28
1915,29-mar,88,2021,mar,29
1916,30-mar,75,2021,mar,30
1917,31-mar,70,2021,mar,31
1918,01-abr,72,2021,abr,1
1919,02-abr,43,2021,abr,2
1920,03-abr,57,2021,abr,3
1921,04-abr,54,2021,abr,4
1922,05-abr,79,2021,abr,5
1923,06-abr,78,2021,abr,6
1924,07-abr,75,2021,abr,7
1925,08-abr,62,2021,abr,8
1926,09-abr,81,2021,abr,9
1927,10-abr,54,2021,abr,10
1928,11-abr,43,2021,abr,11
1929,12-abr,81,2021,abr,12
1930,13-abr,66,2021,abr,13
1931,14-abr,75,2021,abr,14
1932,15-abr,90,2021,abr,15
1933,16-abr,80,2021,abr,16
1934,17-abr,71,2021,abr,17
1935,18-abr,48,2021,abr,18
1936,19-abr,65,2021,abr,19
1937,20-abr,61,2021,abr,20
1938,21-abr,74,2021,abr,21
1939,22-abr,76,2021,abr,22
1940,23-abr,66,2021,abr,23
1941,24-abr,59,2021,abr,24
1942,25-abr,49,2021,abr,25
1943,26-abr,57,2021,abr,26
1944,27-abr,70,2021,abr,27
1945,28-abr,71,2021,abr,28
1946,29-abr,74,2021,abr,29
1947,30-abr,84,2021,abr,30
1948,01-may,65,2021,may,1
1949,02-may,55,2021,may,2
1950,03-may,59,2021,may,3
1951,04-may,88,2021,may,4
1952,05-may,91,2021,may,5
1953,06-may,86,2021,may,6
1954,07-may,87,2021,may,7
1955,08-may,73,2021,may,8
1956,09-may,46,2021,may,9
1957,10-may,68,2021,may,10
1958,11-may,62,2021,may,11
1959,12-may,74,2021,may,12
1960,13-may,60,2021,may,13
1961,14-may,69,2021,may,14
1962,15-may,69,2021,may,15
1963,16-may,55,2021,may,16
1964,17-may,62,2021,may,17
1965,18-may,77,2021,may,18
1966,19-may,75,2021,may,19
1967,20-may,70,2021,may,20
1968,21-may,86,2021,may,21
1969,22-may,57,2021,may,22
1970,23-may,51,2021,may,23
1971,24-may,66,2021,may,24
1972,25-may,76,2021,may,25
1973,26-may,77,2021,may,26
1974,27-may,90,2021,may,27
1975,28-may,62,2021,may,28
1976,29-may,68,2021,may,29
1977,30-may,51,2021,may,30
1978,31-may,64,2021,may,31
1979,01-jun,72,2021,jun,1
1980,02-jun,77,2021,jun,2
1981,03-jun,72,2021,jun,3
1982,04-jun,69,2021,jun,4
1983,05-jun,60,2021,jun,5
1984,06-jun,33,2021,jun,6
1985,07-jun,83,2021,jun,7
1986,08-jun,78,2021,jun,8
1987,09-jun,81,2021,jun,9
1988,10-jun,66,2021,jun,10
1989,11-jun,78,2021,jun,11
1990,12-jun,62,2021,jun,12
1991,13-jun,55,2021,jun,13
1992,14-jun,59,2021,jun,14
1993,15-jun,63,2021,jun,15
1994,16-jun,74,2021,jun,16
1995,17-jun,62,2021,jun,17
1996,18-jun,77,2021,jun,18
1997,19-jun,65,2021,jun,19
1998,20-jun,51,2021,jun,20
1999,21-jun,73,2021,jun,21
2000,22-jun,67,2021,jun,22
2001,23-jun,98,2021,jun,23
2002,24-jun,78,2021,jun,24
2003,25-jun,62,2021,jun,25
2004,26-jun,70,2021,jun,26
2005,27-jun,56,2021,jun,27
2006,28-jun,58,2021,jun,28
2007,29-jun,81,2021,jun,29
2008,30-jun,69,2021,jun,30
2009,01-jul,93,2021,jul,1
2010,02-jul,88,2021,jul,2
2011,03-jul,63,2021,jul,3
2012,04-jul,43,2021,jul,4
2013,05-jul,73,2021,jul,5
2014,06-jul,55,2021,jul,6
2015,07-jul,76,2021,jul,7
2016,08-jul,70,2021,jul,8
2017,09-jul,75,2021,jul,9
2018,10-jul,79,2021,jul,10
2019,11-jul,42,2021,jul,11
2020,12-jul,70,2021,jul,12
2021,13-jul,57,2021,jul,13
2022,14-jul,54,2021,jul,14
2023,15-jul,62,2021,jul,15
2024,16-jul,72,2021,jul,16
2025,17-jul,63,2021,jul,17
2026,18-jul,55,2021,jul,18
2027,19-jul,58,2021,jul,19
2028,20-jul,80,2021,jul,20
2029,21-jul,74,2021,jul,21
2030,22-jul,79,2021,jul,22
2031,23-jul,71,2021,jul,23
2032,24-jul,63,2021,jul,24
2033,25-jul,47,2021,jul,25
2034,26-jul,69,2021,jul,26
2035,27-jul,69,2021,jul,27
2036,28-jul,61,2021,jul,28
2037,29-jul,79,2021,jul,29
2038,30-jul,88,2021,jul,30
2039,31-jul,52,2021,jul,31
2040,01-ago,36,2021,ago,1
2041,02-ago,77,2021,ago,2
2042,03-ago,74,2021,ago,3
2043,04-ago,76,2021,ago,4
2044,05-ago,66,2021,ago,5
2045,06-ago,64,2021,ago,6
2046,07-ago,54,2021,ago,7
2047,08-ago,63,2021,ago,8
2048,09-ago,59,2021,ago,9
2049,10-ago,76,2021,ago,10
2050,11-ago,70,2021,ago,11
2051,12-ago,69,2021,ago,12
2052,13-ago,76,2021,ago,13
2053,14-ago,58,2021,ago,14
2054,15-ago,59,2021,ago,15
2055,16-ago,61,2021,ago,16
2056,17-ago,71,2021,ago,17
2057,18-ago,85,2021,ago,18
2058,19-ago,79,2021,ago,19
2059,20-ago,84,2021,ago,20
2060,21-ago,49,2021,ago,21
2061,22-ago,45,2021,ago,22
2062,23-ago,76,2021,ago,23
2063,24-ago,59,2021,ago,24
2064,25-ago,75,2021,ago,25
2065,26-ago,59,2021,ago,26
2066,27-ago,65,2021,ago,27
2067,28-ago,72,2021,ago,28
2068,29-ago,59,2021,ago,29
2069,30-ago,65,2021,ago,30
2070,31-ago,66,2021,ago,31
2071,01-sep,76,2021,sep,1
2072,02-sep,66,2021,sep,2
2073,03-sep,75,2021,sep,3
2074,04-sep,72,2021,sep,4
2075,05-sep,59,2021,sep,5
2076,06-sep,80,2021,sep,6
2077,07-sep,48,2021,sep,7
2078,08-sep,70,2021,sep,8
2079,09-sep,76,2021,sep,9
2080,10-sep,102,2021,sep,10
2081,11-sep,77,2021,sep,11
