,Fecha,Frecuencia,anio,mes,dia
367,01-ene,30,2017,ene,1
368,02-ene,69,2017,ene,2
369,03-ene,93,2017,ene,3
370,04-ene,139,2017,ene,4
371,05-ene,120,2017,ene,5
372,06-ene,77,2017,ene,6
373,07-ene,58,2017,ene,7
374,08-ene,44,2017,ene,8
375,09-ene,86,2017,ene,9
376,10-ene,94,2017,ene,10
377,11-ene,89,2017,ene,11
378,12-ene,94,2017,ene,12
379,13-ene,83,2017,ene,13
380,14-ene,67,2017,ene,14
381,15-ene,49,2017,ene,15
382,16-ene,97,2017,ene,16
383,17-ene,95,2017,ene,17
384,18-ene,89,2017,ene,18
385,19-ene,85,2017,ene,19
386,20-ene,88,2017,ene,20
387,21-ene,58,2017,ene,21
388,22-ene,56,2017,ene,22
389,23-ene,84,2017,ene,23
390,24-ene,83,2017,ene,24
391,25-ene,92,2017,ene,25
392,26-ene,90,2017,ene,26
393,27-ene,76,2017,ene,27
394,28-ene,62,2017,ene,28
395,29-ene,54,2017,ene,29
396,30-ene,86,2017,ene,30
397,31-ene,75,2017,ene,31
398,01-feb,88,2017,feb,1
399,02-feb,67,2017,feb,2
400,03-feb,67,2017,feb,3
401,04-feb,58,2017,feb,4
402,05-feb,54,2017,feb,5
403,06-feb,72,2017,feb,6
404,07-feb,74,2017,feb,7
405,08-feb,83,2017,feb,8
406,09-feb,60,2017,feb,9
407,10-feb,65,2017,feb,10
408,11-feb,58,2017,feb,11
409,12-feb,38,2017,feb,12
410,13-feb,81,2017,feb,13
411,14-feb,65,2017,feb,14
412,15-feb,85,2017,feb,15
413,16-feb,73,2017,feb,16
414,17-feb,75,2017,feb,17
415,18-feb,65,2017,feb,18
416,19-feb,73,2017,feb,19
417,20-feb,78,2017,feb,20
418,21-feb,64,2017,feb,21
419,22-feb,85,2017,feb,22
420,23-feb,78,2017,feb,23
421,24-feb,75,2017,feb,24
422,25-feb,68,2017,feb,25
423,26-feb,67,2017,feb,26
424,27-feb,85,2017,feb,27
425,28-feb,103,2017,feb,28
426,01-mar,74,2017,mar,1
427,02-mar,78,2017,mar,2
428,03-mar,61,2017,mar,3
429,04-mar,68,2017,mar,4
430,05-mar,47,2017,mar,5
431,06-mar,63,2017,mar,6
432,07-mar,77,2017,mar,7
433,08-mar,70,2017,mar,8
434,09-mar,63,2017,mar,9
435,10-mar,69,2017,mar,10
