,Fecha,Frecuencia,anio,mes,dia
1462,01-ene,85,2020,ene,1
1463,02-ene,80,2020,ene,2
1464,03-ene,120,2020,ene,3
1465,04-ene,120,2020,ene,4
1466,05-ene,98,2020,ene,5
1467,06-ene,72,2020,ene,6
1468,07-ene,103,2020,ene,7
1469,08-ene,100,2020,ene,8
1470,09-ene,108,2020,ene,9
1471,10-ene,109,2020,ene,10
1472,11-ene,91,2020,ene,11
1473,12-ene,76,2020,ene,12
1474,13-ene,97,2020,ene,13
1475,14-ene,109,2020,ene,14
1476,15-ene,108,2020,ene,15
1477,16-ene,93,2020,ene,16
1478,17-ene,106,2020,ene,17
1479,18-ene,71,2020,ene,18
1480,19-ene,79,2020,ene,19
1481,20-ene,93,2020,ene,20
1482,21-ene,95,2020,ene,21
1483,22-ene,88,2020,ene,22
1484,23-ene,89,2020,ene,23
1485,24-ene,110,2020,ene,24
1486,25-ene,103,2020,ene,25
1487,26-ene,91,2020,ene,26
1488,27-ene,107,2020,ene,27
1489,28-ene,97,2020,ene,28
1490,29-ene,113,2020,ene,29
1491,30-ene,94,2020,ene,30
1492,31-ene,96,2020,ene,31
1493,01-feb,70,2020,feb,1
1494,02-feb,83,2020,feb,2
1495,03-feb,104,2020,feb,3
1496,04-feb,119,2020,feb,4
1497,05-feb,99,2020,feb,5
1498,06-feb,97,2020,feb,6
1499,07-feb,130,2020,feb,7
1500,08-feb,75,2020,feb,8
1501,09-feb,81,2020,feb,9
1502,10-feb,106,2020,feb,10
1503,11-feb,130,2020,feb,11
1504,12-feb,112,2020,feb,12
1505,13-feb,110,2020,feb,13
1506,14-feb,109,2020,feb,14
1507,15-feb,90,2020,feb,15
1508,16-feb,55,2020,feb,16
1509,17-feb,110,2020,feb,17
1510,18-feb,114,2020,feb,18
1511,19-feb,101,2020,feb,19
1512,20-feb,115,2020,feb,20
1513,21-feb,106,2020,feb,21
1514,22-feb,89,2020,feb,22
1515,23-feb,74,2020,feb,23
1516,24-feb,125,2020,feb,24
1517,25-feb,108,2020,feb,25
1518,26-feb,123,2020,feb,26
1519,27-feb,102,2020,feb,27
1520,28-feb,110,2020,feb,28
1521,29-feb,103,2020,feb,29
1522,01-mar,78,2020,mar,1
1523,02-mar,106,2020,mar,2
1524,03-mar,122,2020,mar,3
1525,04-mar,119,2020,mar,4
1526,05-mar,136,2020,mar,5
1527,06-mar,109,2020,mar,6
1528,07-mar,93,2020,mar,7
1529,08-mar,84,2020,mar,8
1530,09-mar,94,2020,mar,9
1531,10-mar,104,2020,mar,10
1532,11-mar,89,2020,mar,11
1533,12-mar,103,2020,mar,12
1534,13-mar,124,2020,mar,13
1535,14-mar,86,2020,mar,14
1536,15-mar,69,2020,mar,15
1537,16-mar,74,2020,mar,16
1538,17-mar,112,2020,mar,17
1539,18-mar,100,2020,mar,18
1540,19-mar,109,2020,mar,19
1541,20-mar,113,2020,mar,20
1542,21-mar,81,2020,mar,21
1543,22-mar,69,2020,mar,22
1544,23-mar,79,2020,mar,23
1545,24-mar,101,2020,mar,24
1546,25-mar,97,2020,mar,25
1547,26-mar,75,2020,mar,26
1548,27-mar,87,2020,mar,27
1549,28-mar,83,2020,mar,28
1550,29-mar,67,2020,mar,29
1551,30-mar,68,2020,mar,30
1552,31-mar,76,2020,mar,31
1553,01-abr,74,2020,abr,1
1554,02-abr,76,2020,abr,2
1555,03-abr,72,2020,abr,3
1556,04-abr,83,2020,abr,4
1557,05-abr,57,2020,abr,5
1558,06-abr,67,2020,abr,6
1559,07-abr,53,2020,abr,7
1560,08-abr,57,2020,abr,8
1561,09-abr,70,2020,abr,9
1562,10-abr,50,2020,abr,10
1563,11-abr,44,2020,abr,11
1564,12-abr,50,2020,abr,12
1565,13-abr,73,2020,abr,13
1566,14-abr,63,2020,abr,14
1567,15-abr,68,2020,abr,15
1568,16-abr,69,2020,abr,16
1569,17-abr,73,2020,abr,17
1570,18-abr,69,2020,abr,18
1571,19-abr,60,2020,abr,19
1572,20-abr,69,2020,abr,20
1573,21-abr,73,2020,abr,21
1574,22-abr,72,2020,abr,22
1575,23-abr,56,2020,abr,23
1576,24-abr,73,2020,abr,24
1577,25-abr,56,2020,abr,25
1578,26-abr,47,2020,abr,26
1579,27-abr,55,2020,abr,27
1580,28-abr,64,2020,abr,28
1581,29-abr,68,2020,abr,29
1582,30-abr,63,2020,abr,30
1583,01-may,69,2020,may,1
1584,02-may,60,2020,may,2
1585,03-may,33,2020,may,3
1586,04-may,61,2020,may,4
1587,05-may,63,2020,may,5
1588,06-may,51,2020,may,6
1589,07-may,62,2020,may,7
1590,08-may,64,2020,may,8
1591,09-may,52,2020,may,9
1592,10-may,44,2020,may,10
1593,11-may,70,2020,may,11
1594,12-may,63,2020,may,12
1595,13-may,68,2020,may,13
1596,14-may,64,2020,may,14
1597,15-may,53,2020,may,15
1598,16-may,57,2020,may,16
1599,17-may,48,2020,may,17
1600,18-may,62,2020,may,18
1601,19-may,65,2020,may,19
1602,20-may,84,2020,may,20
1603,21-may,61,2020,may,21
1604,22-may,75,2020,may,22
1605,23-may,62,2020,may,23
1606,24-may,50,2020,may,24
1607,25-may,55,2020,may,25
1608,26-may,77,2020,may,26
1609,27-may,85,2020,may,27
1610,28-may,59,2020,may,28
1611,29-may,69,2020,may,29
1612,30-may,58,2020,may,30
1613,31-may,49,2020,may,31
1614,01-jun,61,2020,jun,1
1615,02-jun,67,2020,jun,2
1616,03-jun,55,2020,jun,3
