"","Fecha","Frecuencia"
"1",2023-04-01,52.8991119184157
"2",2023-04-02,49.703857599478
"3",2023-04-03,52.4077208567696
"4",2023-04-04,58.1160047000268
"5",2023-04-05,54.8636399312333
"6",2023-04-06,48.197397971689
"7",2023-04-07,52.0159451435745
"8",2023-04-08,55.9289437564622
"9",2023-04-09,55.321662371271
"10",2023-04-10,56.2359530875328
"11",2023-04-11,57.5584087564516
"12",2023-04-12,54.4380796247686
"13",2023-04-13,54.1701862167858
"14",2023-04-14,59.3326981731686
"15",2023-04-15,56.6277479082142
"16",2023-04-16,55.831956351737
"17",2023-04-17,56.9317758545671
"18",2023-04-18,61.5599420903909
"19",2023-04-19,62.6092301564422
"20",2023-04-20,59.9662909155731
"21",2023-04-21,53.3782615057849
"22",2023-04-22,58.2999439849554
"23",2023-04-23,55.5502640526969
"24",2023-04-24,57.6238131408657
"25",2023-04-25,61.3092356558551
"26",2023-04-26,60.9361311995618
"27",2023-04-27,53.9831323982569
"28",2023-04-28,50.5380875011057
"29",2023-04-29,59.6056390991242
"30",2023-04-30,59.1857787345511
"31",2023-05-01,60.9507906590597
"32",2023-05-02,59.8207005632276
"33",2023-05-03,57.8072066906302
"34",2023-05-04,52.4755741821647
"35",2023-05-05,54.9980120683514
"36",2023-05-06,56.0861839441975
"37",2023-05-07,55.9792422664697
"38",2023-05-08,57.230070989149
"39",2023-05-09,57.8271066081423
"40",2023-05-10,55.6584022491853
"41",2023-05-11,54.2566178563184
"42",2023-05-12,56.6531596292097
"43",2023-05-13,56.176971188535
"44",2023-05-14,55.0821949734761
"45",2023-05-15,55.0191854901557
"46",2023-05-16,57.6149036501968
"47",2023-05-17,56.5606652172423
"48",2023-05-18,55.4131090182254
"49",2023-05-19,53.5997503433378
"50",2023-05-20,55.0717036711854
"51",2023-05-21,54.2704729464989
"52",2023-05-22,55.9093398409724
"53",2023-05-23,57.8225687547412
"54",2023-05-24,56.6602811965668
"55",2023-05-25,54.1929538017462
"56",2023-05-26,52.8977305574239
"57",2023-05-27,54.3577221397603
"58",2023-05-28,54.6829209056716
"59",2023-05-29,56.8254602694566
"60",2023-05-30,57.1285586256594
"61",2023-05-31,55.5613749999436
"62",2023-06-01,53.4643350119101
"63",2023-06-02,53.6474831625351
"64",2023-06-03,54.5512754642083
"65",2023-06-04,54.5279391152193
"66",2023-06-05,55.7077670839291
"67",2023-06-06,57.1113379088627
"68",2023-06-07,54.2538700302659
"69",2023-06-08,53.5343952406672
"70",2023-06-09,54.696728093155
"71",2023-06-10,54.9523666207892
"72",2023-06-11,53.9259280601901
"73",2023-06-12,55.3121727267378
"74",2023-06-13,56.5033215924011
"75",2023-06-14,55.2586572181725
"76",2023-06-15,54.925861283544
"77",2023-06-16,54.0500740582447
"78",2023-06-17,53.4385383943448
"79",2023-06-18,53.7661783955892
"80",2023-06-19,54.9162098998188
"81",2023-06-20,55.519186699814
"82",2023-06-21,55.5706304436328
"83",2023-06-22,55.0772948711745
"84",2023-06-23,53.9526989563949
"85",2023-06-24,53.3781947458343
"86",2023-06-25,54.2478785471377
"87",2023-06-26,54.9055126641635
"88",2023-06-27,56.2603539741633
"89",2023-06-28,54.9215019190797
"90",2023-06-29,54.5455785715375
"91",2023-06-30,53.9803383368763
"92",2023-07-01,54.1672172247247
"93",2023-07-02,54.0512604776808
"94",2023-07-03,55.0375317848601
"95",2023-07-04,56.5102346380342
"96",2023-07-05,54.5973185892619
"97",2023-07-06,54.567850831827
"98",2023-07-07,54.5742826048633
"99",2023-07-08,54.7713565308926
"100",2023-07-09,54.2846779395298
"101",2023-07-10,55.0733386688238
"102",2023-07-11,55.310672684741
"103",2023-07-12,55.2403408594768
"104",2023-07-13,55.3535271462325
"105",2023-07-14,55.2630431199831
"106",2023-07-15,54.6152401759716
"107",2023-07-16,53.8104370841881
"108",2023-07-17,55.1509959460586
"109",2023-07-18,55.7949035374257
"110",2023-07-19,55.0711875371051
"111",2023-07-20,54.5895038977503
"112",2023-07-21,55.697540577506
"113",2023-07-22,54.2457555323478
"114",2023-07-23,54.0328277055114
"115",2023-07-24,55.4528050417419
"116",2023-07-25,56.2827568520975
"117",2023-07-26,55.3935089289418
"118",2023-07-27,54.8147335779795
"119",2023-07-28,55.3978303645328
"120",2023-07-29,54.7904816796684
"121",2023-07-30,54.234600678332
"122",2023-07-31,55.5132948567443
"123",2023-08-01,55.5892473663489
"124",2023-08-02,54.3388900657389
"125",2023-08-03,54.8615219616489
"126",2023-08-04,54.3311779555677
"127",2023-08-05,53.8805858229088
"128",2023-08-06,54.0479466671629
"129",2023-08-07,54.9822258833589
"130",2023-08-08,55.7558366456295
"131",2023-08-09,54.9093556967371
"132",2023-08-10,55.5605499772254
"133",2023-08-11,55.1473093128829
"134",2023-08-12,54.8522376896343
"135",2023-08-13,53.713246205213
"136",2023-08-14,55.3970581307217
"137",2023-08-15,55.5465395448459
"138",2023-08-16,54.492389141566
"139",2023-08-17,54.5657717539437
"140",2023-08-18,54.4694283078595
"141",2023-08-19,54.0037693403464
"142",2023-08-20,53.712603332082
"143",2023-08-21,54.8864985407868
"144",2023-08-22,55.5042859762489
"145",2023-08-23,54.4443464357106
"146",2023-08-24,54.6477923120065
"147",2023-08-25,54.8548814329616
"148",2023-08-26,53.4082643360882
"149",2023-08-27,54.3864233947292
"150",2023-08-28,54.7350449584273
"151",2023-08-29,55.2311817373285
"152",2023-08-30,54.92877783547
"153",2023-08-31,54.4577869841053
"154",2023-09-01,54.4151783736996
"155",2023-09-02,53.8108970711751
