time,forecast
367,-10.61739659
368,-1.657016724
369,8.508524163
370,31.29980011
371,12.78947929
372,-2.690029398
373,-5.589186863
374,-5.004672604
375,4.778819911
376,2.565860773
377,-2.97758459
378,1.621192536
379,-0.465972764
380,2.789958317
381,-4.61559405
382,3.761077176
383,1.973121525
384,-2.905292597
385,2.212586832
386,2.213552767
387,-4.191119969
388,3.194487974
389,1.739930463
390,-3.025923005
391,-1.248462036
392,4.238560722
393,-5.246822948
394,-3.237518413
395,-0.14220909
396,-2.829686205
397,-10.8767593
398,-2.776281708
399,-5.09522324
400,-2.306668266
401,-0.560392481
402,3.658962956
403,-5.643537289
404,-6.731022289
405,-1.772489169
406,-9.88238113
407,-2.965069795
408,0.826489522
409,-9.359029908
410,5.658920565
411,-7.292454728
412,4.983256119
413,0.645430559
414,1.698897204
415,0.908951893
416,20.19624822
417,3.057671767
418,-11.14134932
419,4.551907178
420,-0.177909336
421,6.107233958
422,2.468825639
423,10.67454461
424,12.85655418
425,23.35296121
426,-6.195155653
427,5.36622099
428,-9.843231272
429,2.099212981
430,-7.825418848
431,-6.236792215
432,1.171254612
433,-0.59174976
434,-6.277146573
435,2.28664161
436,-2.106177428
437,-5.020775616
438,-3.727917685
439,7.303148496
440,-7.146133047
441,5.753115384
442,-6.971943156
443,-3.136104496
444,1.310777196
445,-9.145103175
446,3.127908586
447,5.042553599
448,15.53492044
449,16.90823777
450,-8.214098221
451,-1.469799832
452,7.043849194
453,8.83045126
454,-0.936175718
455,9.183423737
456,-10.58569879
457,5.37151099
458,5.513856966
459,13.90335279
460,-1.609887358
461,-4.181023979
462,-2.183051727
463,7.861901675
464,-6.76367521
465,-0.133471271
466,-6.481800563
467,-2.364002372
468,-10.61655188
469,-24.91587274
470,-26.72451517
471,-9.254839179
472,-11.65082873
473,3.008563764
474,3.351634374
475,-2.557864837
476,15.35430053
477,4.049177292
478,12.52917517
479,-3.62615558
480,0.580348701
481,8.380029316
482,-11.0058774
483,6.117468483
484,-3.466288243
485,-3.007642918
486,5.008397765
487,-10.2401487
488,12.59422403
489,15.29200689
490,11.08386539
491,-0.314044538
492,0.416669227
493,-10.33033159
494,4.175377997
495,5.537378248
496,-14.84713829
497,2.097515939
498,2.104629151
499,1.979968051
500,-2.98979307
501,3.865232916
502,0.931084496
503,3.130246665
504,0.216265012
505,-4.584387716
506,4.262776312
507,-11.36933002
508,5.514087776
509,3.824602236
510,-6.011948175
