,Fecha,Frecuencia,anio,mes,dia
2558,01-ene,23,2023,ene,1
2559,02-ene,54,2023,ene,2
2560,03-ene,60,2023,ene,3
2561,04-ene,51,2023,ene,4
2562,05-ene,60,2023,ene,5
2563,06-ene,47,2023,ene,6
2564,07-ene,39,2023,ene,7
2565,08-ene,32,2023,ene,8
2566,09-ene,55,2023,ene,9
2567,10-ene,69,2023,ene,10
2568,11-ene,56,2023,ene,11
2569,12-ene,72,2023,ene,12
2570,13-ene,55,2023,ene,13
2571,14-ene,41,2023,ene,14
2572,15-ene,41,2023,ene,15
2573,16-ene,60,2023,ene,16
2574,17-ene,53,2023,ene,17
2575,18-ene,65,2023,ene,18
2576,19-ene,60,2023,ene,19
2577,20-ene,58,2023,ene,20
2578,21-ene,44,2023,ene,21
2579,22-ene,57,2023,ene,22
2580,23-ene,59,2023,ene,23
2581,24-ene,54,2023,ene,24
2582,25-ene,67,2023,ene,25
2583,26-ene,56,2023,ene,26
2584,27-ene,51,2023,ene,27
2585,28-ene,52,2023,ene,28
2586,29-ene,50,2023,ene,29
2587,30-ene,67,2023,ene,30
2588,31-ene,61,2023,ene,31
2589,01-feb,64,2023,feb,1
2590,02-feb,74,2023,feb,2
2591,03-feb,57,2023,feb,3
2592,04-feb,52,2023,feb,4
2593,05-feb,51,2023,feb,5
2594,06-feb,53,2023,feb,6
2595,07-feb,60,2023,feb,7
2596,08-feb,64,2023,feb,8
2597,09-feb,64,2023,feb,9
2598,10-feb,73,2023,feb,10
2599,11-feb,62,2023,feb,11
2600,12-feb,61,2023,feb,12
2601,13-feb,74,2023,feb,13
2602,14-feb,54,2023,feb,14
2603,15-feb,51,2023,feb,15
2604,16-feb,55,2023,feb,16
2605,17-feb,62,2023,feb,17
2606,18-feb,48,2023,feb,18
2607,19-feb,62,2023,feb,19
2608,20-feb,65,2023,feb,20
2609,21-feb,45,2023,feb,21
2610,22-feb,63,2023,feb,22
2611,23-feb,71,2023,feb,23
2612,24-feb,63,2023,feb,24
2613,25-feb,58,2023,feb,25
2614,26-feb,57,2023,feb,26
2615,27-feb,70,2023,feb,27
2616,28-feb,77,2023,feb,28
2617,01-mar,62,2023,mar,1
2618,02-mar,45,2023,mar,2
2619,03-mar,65,2023,mar,3
2620,04-mar,71,2023,mar,4
2621,05-mar,43,2023,mar,5
2622,06-mar,50,2023,mar,6
2623,07-mar,58,2023,mar,7
2624,08-mar,49,2023,mar,8
2625,09-mar,43,2023,mar,9
2626,10-mar,64,2023,mar,10
2627,11-mar,61,2023,mar,11
2628,12-mar,54,2023,mar,12
2629,13-mar,56,2023,mar,13
2630,14-mar,60,2023,mar,14
2631,15-mar,46,2023,mar,15
2632,16-mar,54,2023,mar,16
2633,17-mar,54,2023,mar,17
2634,18-mar,45,2023,mar,18
2635,19-mar,47,2023,mar,19
2636,20-mar,35,2023,mar,20
2637,21-mar,51,2023,mar,21
2638,22-mar,47,2023,mar,22
2639,23-mar,58,2023,mar,23
2640,24-mar,49,2023,mar,24
2641,25-mar,40,2023,mar,25
2642,26-mar,38,2023,mar,26
2643,27-mar,53,2023,mar,27
2644,28-mar,57,2023,mar,28
2645,29-mar,53,2023,mar,29
2646,30-mar,37,2023,mar,30
2647,31-mar,19,2023,mar,31
