,Fecha,Frecuencia,anio,mes,dia
1,01/01/2016,29,2016,ene,1
2,02/01/2016,66,2016,ene,2
3,03/01/2016,58,2016,ene,3
4,04/01/2016,106,2016,ene,4
5,05/01/2016,81,2016,ene,5
6,06/01/2016,44,2016,ene,6
7,07/01/2016,76,2016,ene,7
8,08/01/2016,73,2016,ene,8
9,09/01/2016,52,2016,ene,9
10,10/01/2016,34,2016,ene,10
11,11/01/2016,66,2016,ene,11
12,12/01/2016,79,2016,ene,12
13,13/01/2016,69,2016,ene,13
14,14/01/2016,85,2016,ene,14
15,15/01/2016,87,2016,ene,15
16,16/01/2016,76,2016,ene,16
17,17/01/2016,50,2016,ene,17
18,18/01/2016,71,2016,ene,18
19,19/01/2016,83,2016,ene,19
20,20/01/2016,71,2016,ene,20
21,21/01/2016,71,2016,ene,21
22,22/01/2016,83,2016,ene,22
23,23/01/2016,63,2016,ene,23
24,24/01/2016,57,2016,ene,24
25,25/01/2016,60,2016,ene,25
26,26/01/2016,84,2016,ene,26
27,27/01/2016,72,2016,ene,27
28,28/01/2016,69,2016,ene,28
29,29/01/2016,59,2016,ene,29
30,30/01/2016,70,2016,ene,30
31,31/01/2016,53,2016,ene,31
32,01/02/2016,44,2016,feb,1
33,02/02/2016,84,2016,feb,2
34,03/02/2016,95,2016,feb,3
35,04/02/2016,84,2016,feb,4
36,05/02/2016,81,2016,feb,5
37,06/02/2016,63,2016,feb,6
38,07/02/2016,63,2016,feb,7
39,08/02/2016,84,2016,feb,8
40,09/02/2016,70,2016,feb,9
41,10/02/2016,70,2016,feb,10
42,11/02/2016,67,2016,feb,11
43,12/02/2016,77,2016,feb,12
44,13/02/2016,57,2016,feb,13
45,14/02/2016,69,2016,feb,14
46,15/02/2016,73,2016,feb,15
47,16/02/2016,83,2016,feb,16
48,17/02/2016,72,2016,feb,17
49,18/02/2016,71,2016,feb,18
50,19/02/2016,80,2016,feb,19
51,20/02/2016,57,2016,feb,20
52,21/02/2016,58,2016,feb,21
53,22/02/2016,72,2016,feb,22
54,23/02/2016,88,2016,feb,23
55,24/02/2016,93,2016,feb,24
56,25/02/2016,71,2016,feb,25
57,26/02/2016,78,2016,feb,26
58,27/02/2016,69,2016,feb,27
59,28/02/2016,60,2016,feb,28
60,29/02/2016,73,2016,feb,29
61,01/03/2016,80,2016,mar,1
62,02/03/2016,80,2016,mar,2
63,03/03/2016,88,2016,mar,3
64,04/03/2016,76,2016,mar,4
65,05/03/2016,70,2016,mar,5
66,06/03/2016,65,2016,mar,6
67,07/03/2016,87,2016,mar,7
68,08/03/2016,92,2016,mar,8
69,09/03/2016,77,2016,mar,9
70,10/03/2016,71,2016,mar,10
71,11/03/2016,71,2016,mar,11
72,12/03/2016,59,2016,mar,12
73,13/03/2016,56,2016,mar,13
74,14/03/2016,95,2016,mar,14
75,15/03/2016,76,2016,mar,15
76,16/03/2016,85,2016,mar,16
77,17/03/2016,81,2016,mar,17
78,18/03/2016,80,2016,mar,18
79,19/03/2016,58,2016,mar,19
80,20/03/2016,52,2016,mar,20
81,21/03/2016,69,2016,mar,21
82,22/03/2016,76,2016,mar,22
83,23/03/2016,68,2016,mar,23
84,24/03/2016,46,2016,mar,24
85,25/03/2016,33,2016,mar,25
86,26/03/2016,45,2016,mar,26
87,27/03/2016,60,2016,mar,27
88,28/03/2016,88,2016,mar,28
89,29/03/2016,77,2016,mar,29
90,30/03/2016,80,2016,mar,30
91,31/03/2016,93,2016,mar,31
92,01/04/2016,84,2016,abr,1
93,02/04/2016,72,2016,abr,2
94,03/04/2016,65,2016,abr,3
95,04/04/2016,80,2016,abr,4
96,05/04/2016,81,2016,abr,5
97,06/04/2016,94,2016,abr,6
98,07/04/2016,87,2016,abr,7
99,08/04/2016,82,2016,abr,8
100,09/04/2016,61,2016,abr,9
101,10/04/2016,70,2016,abr,10
102,11/04/2016,84,2016,abr,11
103,12/04/2016,78,2016,abr,12
104,13/04/2016,76,2016,abr,13
105,14/04/2016,59,2016,abr,14
106,15/04/2016,61,2016,abr,15
107,16/04/2016,78,2016,abr,16
108,17/04/2016,52,2016,abr,17
109,18/04/2016,77,2016,abr,18
110,19/04/2016,55,2016,abr,19
111,20/04/2016,62,2016,abr,20
112,21/04/2016,63,2016,abr,21
113,22/04/2016,70,2016,abr,22
114,23/04/2016,53,2016,abr,23
115,24/04/2016,56,2016,abr,24
116,25/04/2016,61,2016,abr,25
117,26/04/2016,70,2016,abr,26
118,27/04/2016,84,2016,abr,27
119,28/04/2016,74,2016,abr,28
120,29/04/2016,61,2016,abr,29
121,30/04/2016,53,2016,abr,30
122,01/05/2016,56,2016,may,1
123,02/05/2016,58,2016,may,2
124,03/05/2016,71,2016,may,3
125,04/05/2016,62,2016,may,4
126,05/05/2016,77,2016,may,5
127,06/05/2016,64,2016,may,6
128,07/05/2016,72,2016,may,7
129,08/05/2016,49,2016,may,8
130,09/05/2016,46,2016,may,9
131,10/05/2016,58,2016,may,10
132,11/05/2016,68,2016,may,11
133,12/05/2016,81,2016,may,12
134,13/05/2016,66,2016,may,13
135,14/05/2016,59,2016,may,14
136,15/05/2016,59,2016,may,15
137,16/05/2016,96,2016,may,16
138,17/05/2016,64,2016,may,17
139,18/05/2016,61,2016,may,18
140,19/05/2016,83,2016,may,19
141,20/05/2016,68,2016,may,20
142,21/05/2016,64,2016,may,21
143,22/05/2016,52,2016,may,22
144,23/05/2016,72,2016,may,23
145,24/05/2016,73,2016,may,24
146,25/05/2016,93,2016,may,25
147,26/05/2016,72,2016,may,26
148,27/05/2016,75,2016,may,27
149,28/05/2016,50,2016,may,28
150,29/05/2016,55,2016,may,29
151,30/05/2016,66,2016,may,30
152,31/05/2016,62,2016,may,31
153,01/06/2016,57,2016,jun,1
154,02/06/2016,60,2016,jun,2
155,03/06/2016,77,2016,jun,3
156,04/06/2016,50,2016,jun,4
157,05/06/2016,56,2016,jun,5
158,06/06/2016,72,2016,jun,6
159,07/06/2016,64,2016,jun,7
160,08/06/2016,63,2016,jun,8
161,09/06/2016,53,2016,jun,9
162,10/06/2016,57,2016,jun,10
163,11/06/2016,47,2016,jun,11
164,12/06/2016,61,2016,jun,12
165,13/06/2016,75,2016,jun,13
166,14/06/2016,72,2016,jun,14
167,15/06/2016,53,2016,jun,15
168,16/06/2016,65,2016,jun,16
169,17/06/2016,57,2016,jun,17
170,18/06/2016,46,2016,jun,18
171,19/06/2016,44,2016,jun,19
172,20/06/2016,57,2016,jun,20
173,21/06/2016,53,2016,jun,21
174,22/06/2016,51,2016,jun,22
175,23/06/2016,60,2016,jun,23
176,24/06/2016,66,2016,jun,24
177,25/06/2016,52,2016,jun,25
178,26/06/2016,48,2016,jun,26
179,27/06/2016,50,2016,jun,27
180,28/06/2016,73,2016,jun,28
