,Fecha,Frecuencia,anio,mes,dia
1097,01-ene,70,2019,ene,1
1098,02-ene,127,2019,ene,2
1099,03-ene,177,2019,ene,3
1100,04-ene,152,2019,ene,4
1101,05-ene,154,2019,ene,5
1102,06-ene,75,2019,ene,6
1103,07-ene,140,2019,ene,7
1104,08-ene,153,2019,ene,8
1105,09-ene,126,2019,ene,9
1106,10-ene,121,2019,ene,10
1107,11-ene,163,2019,ene,11
1108,12-ene,107,2019,ene,12
1109,13-ene,89,2019,ene,13
1110,14-ene,139,2019,ene,14
1111,15-ene,151,2019,ene,15
1112,16-ene,153,2019,ene,16
1113,17-ene,136,2019,ene,17
1114,18-ene,135,2019,ene,18
1115,19-ene,121,2019,ene,19
1116,20-ene,88,2019,ene,20
1117,21-ene,114,2019,ene,21
1118,22-ene,133,2019,ene,22
1119,23-ene,139,2019,ene,23
1120,24-ene,138,2019,ene,24
1121,25-ene,131,2019,ene,25
1122,26-ene,113,2019,ene,26
1123,27-ene,82,2019,ene,27
1124,28-ene,159,2019,ene,28
1125,29-ene,127,2019,ene,29
1126,30-ene,151,2019,ene,30
1127,31-ene,151,2019,ene,31
1128,01-feb,174,2019,feb,1
1129,02-feb,140,2019,feb,2
1130,03-feb,107,2019,feb,3
1131,04-feb,112,2019,feb,4
1132,05-feb,130,2019,feb,5
1133,06-feb,136,2019,feb,6
1134,07-feb,158,2019,feb,7
1135,08-feb,171,2019,feb,8
1136,09-feb,131,2019,feb,9
1137,10-feb,111,2019,feb,10
1138,11-feb,160,2019,feb,11
1139,12-feb,153,2019,feb,12
1140,13-feb,190,2019,feb,13
1141,14-feb,155,2019,feb,14
1142,15-feb,169,2019,feb,15
1143,16-feb,166,2019,feb,16
1144,17-feb,103,2019,feb,17
1145,18-feb,160,2019,feb,18
1146,19-feb,167,2019,feb,19
1147,20-feb,154,2019,feb,20
1148,21-feb,162,2019,feb,21
1149,22-feb,170,2019,feb,22
1150,23-feb,165,2019,feb,23
1151,24-feb,134,2019,feb,24
1152,25-feb,145,2019,feb,25
1153,26-feb,162,2019,feb,26
1154,27-feb,148,2019,feb,27
1155,28-feb,130,2019,feb,28
1156,01-mar,164,2019,mar,1
1157,02-mar,134,2019,mar,2
1158,03-mar,98,2019,mar,3
1159,04-mar,165,2019,mar,4
1160,05-mar,137,2019,mar,5
1161,06-mar,139,2019,mar,6
1162,07-mar,143,2019,mar,7
1163,08-mar,151,2019,mar,8
1164,09-mar,131,2019,mar,9
1165,10-mar,118,2019,mar,10
1166,11-mar,163,2019,mar,11
1167,12-mar,130,2019,mar,12
1168,13-mar,153,2019,mar,13
1169,14-mar,135,2019,mar,14
1170,15-mar,160,2019,mar,15
1171,16-mar,133,2019,mar,16
1172,17-mar,91,2019,mar,17
1173,18-mar,106,2019,mar,18
1174,19-mar,150,2019,mar,19
1175,20-mar,147,2019,mar,20
1176,21-mar,145,2019,mar,21
1177,22-mar,112,2019,mar,22
1178,23-mar,103,2019,mar,23
1179,24-mar,95,2019,mar,24
1180,25-mar,125,2019,mar,25
1181,26-mar,146,2019,mar,26
1182,27-mar,138,2019,mar,27
1183,28-mar,136,2019,mar,28
1184,29-mar,131,2019,mar,29
1185,30-mar,139,2019,mar,30
1186,31-mar,95,2019,mar,31
1187,01-abr,150,2019,abr,1
1188,02-abr,127,2019,abr,2
1189,03-abr,151,2019,abr,3
1190,04-abr,169,2019,abr,4
1191,05-abr,169,2019,abr,5
1192,06-abr,124,2019,abr,6
1193,07-abr,91,2019,abr,7
1194,08-abr,138,2019,abr,8
1195,09-abr,131,2019,abr,9
1196,10-abr,129,2019,abr,10
