,Fecha,Frecuencia,anio,mes,dia
2193,01-ene,34,2022,ene,1
2194,02-ene,52,2022,ene,2
2195,03-ene,70,2022,ene,3
2196,04-ene,61,2022,ene,4
2197,05-ene,71,2022,ene,5
2198,06-ene,60,2022,ene,6
2199,07-ene,52,2022,ene,7
2200,08-ene,66,2022,ene,8
2201,09-ene,45,2022,ene,9
2202,10-ene,61,2022,ene,10
2203,11-ene,67,2022,ene,11
2204,12-ene,79,2022,ene,12
2205,13-ene,54,2022,ene,13
2206,14-ene,72,2022,ene,14
2207,15-ene,67,2022,ene,15
2208,16-ene,39,2022,ene,16
2209,17-ene,82,2022,ene,17
2210,18-ene,61,2022,ene,18
2211,19-ene,72,2022,ene,19
2212,20-ene,70,2022,ene,20
2213,21-ene,66,2022,ene,21
2214,22-ene,75,2022,ene,22
2215,23-ene,49,2022,ene,23
2216,24-ene,67,2022,ene,24
2217,25-ene,76,2022,ene,25
2218,26-ene,61,2022,ene,26
2219,27-ene,77,2022,ene,27
2220,28-ene,59,2022,ene,28
2221,29-ene,60,2022,ene,29
2222,30-ene,50,2022,ene,30
2223,31-ene,47,2022,ene,31
2224,01-feb,73,2022,feb,1
2225,02-feb,84,2022,feb,2
2226,03-feb,45,2022,feb,3
2227,04-feb,60,2022,feb,4
2228,05-feb,54,2022,feb,5
2229,06-feb,51,2022,feb,6
2230,07-feb,59,2022,feb,7
2231,08-feb,74,2022,feb,8
2232,09-feb,62,2022,feb,9
2233,10-feb,88,2022,feb,10
2234,11-feb,56,2022,feb,11
2235,12-feb,67,2022,feb,12
2236,13-feb,57,2022,feb,13
2237,14-feb,58,2022,feb,14
2238,15-feb,68,2022,feb,15
2239,16-feb,73,2022,feb,16
2240,17-feb,84,2022,feb,17
2241,18-feb,79,2022,feb,18
2242,19-feb,63,2022,feb,19
2243,20-feb,60,2022,feb,20
2244,21-feb,53,2022,feb,21
2245,22-feb,80,2022,feb,22
2246,23-feb,69,2022,feb,23
2247,24-feb,70,2022,feb,24
2248,25-feb,77,2022,feb,25
2249,26-feb,53,2022,feb,26
2250,27-feb,54,2022,feb,27
2251,28-feb,78,2022,feb,28
2252,01-mar,73,2022,mar,1
2253,02-mar,75,2022,mar,2
2254,03-mar,67,2022,mar,3
2255,04-mar,77,2022,mar,4
2256,05-mar,53,2022,mar,5
2257,06-mar,33,2022,mar,6
2258,07-mar,67,2022,mar,7
2259,08-mar,70,2022,mar,8
2260,09-mar,71,2022,mar,9
2261,10-mar,79,2022,mar,10
2262,11-mar,81,2022,mar,11
